customer_id,signup_date,last_active_date,age,region,city_raw,customer_segment,acquisition_channel,product_plan,device_type,monthly_sessions,avg_monthly_spend,discount_pct,support_tickets_90d,satisfaction_score,estimated_income_czk,payment_method,churned,satisfaction_missing,city_clean
100001,2025-01-31,2026-04-23,39,prague,praha,family,organic search,basic,desktop,9,633.59,13.9,3,7.8,99500,card,0,0,prague
100002,2025-12-30,2026-04-27,53,brno,brno,family,email campaign,business,desktop,22,15337.56,4.2,2,5.9,68800,unknown,0,0,brno
100003,2024-05-10,2026-04-20,27,olomouc,olomouc,family,organic search,premium,tablet,9,3772.14,19.9,2,4.7,62600,card,0,0,olomouc
100004,2025-07-18,2026-04-05,28,brno,brno,small business,email campaign,plus,mobile,15,3633.56,4.8,0,8.6,54200,paypal,0,0,brno
100005,2025-03-22,2026-04-09,54,ostrava,ostrava,family,social media,business,mobile,13,4665.13,12.8,2,10.0,38800,card,0,0,ostrava
100007,2024-11-10,2026-04-13,34,prague,praha,retired,referral,plus,desktop,8,1473.4,16.9,1,7.1,23700,card,0,0,prague
100008,2022-05-02,2025-03-01,42,prague,praha,young professional,referral,basic,mobile,4,491.44,4.7,4,5.7,62500,bank_transfer,1,0,prague
100009,2025-11-13,2026-04-22,18,ostrava,ostrava,retired,organic search,premium,desktop,10,3724.15,2.9,0,8.9,24600,card,0,0,ostrava
100010,2025-05-23,2026-04-17,18,olomouc,olomouc,young professional,organic search,basic,mobile,7,723.1,19.1,1,6.8,35400,unknown,0,0,olomouc
100011,not_available,2026-04-01,46,brno,brno,small business,email campaign,business,mobile,31,10552.21,17.1,1,7.6,122400,card,0,0,brno
100012,2024-12-16,2026-04-08,35,prague,praha,family,social media,plus,mobile,7,928.1,7.4,0,7.5,93700,bank_transfer,0,0,prague
100013,2025-10-28,2026-04-12,36,brno,brno,young professional,social media,business,desktop,11,7751.96,3.3,2,8.0,60200,card,0,0,brno
100014,2025-01-28,2026-03-26,29,plzen,plzen,retired,paid ads,plus,mobile,5,1063.05,14.8,2,5.4,28000,card,0,0,plzen
100015,2024-05-21,2026-04-08,34,liberec,liberec,family,paid ads,plus,desktop,10,1220.55,18.0,3,7.5,44800,paypal,0,0,liberec
100016,2023-11-05,2026-04-17,53,other,unknown,small business,organic search,plus,mobile,14,3507.01,20.2,1,5.5,64800,card,0,0,unknown
100017,2025-08-25,2026-04-08,40,liberec,liberec,small business,email campaign,premium,tablet,12,2703.02,15.3,2,9.6,64800,card,0,0,liberec
100018,2024-02-09,2026-04-19,52,ostrava,ostrava,student,organic search,basic,mobile,2,249.46,11.5,0,6.4,15700,card,0,0,ostrava
100019,2022-12-10,2026-04-20,36,brno,brno,young professional,organic search,premium,mobile,6,915.92,31.0,1,7.0,20200,bank_transfer,0,0,brno
100020,2025-12-08,2026-04-25,38,other,other,young professional,referral,premium,mobile,22,4481.68,19.3,2,7.5,36900,paypal,0,0,other
100021,2024-03-16,2026-03-14,42,ostrava,ostrava,retired,paid ads,basic,desktop,3,177.42,22.1,1,6.3,52200,paypal,0,0,ostrava
100022,2023-01-21,2026-04-24,45,olomouc,olomouc,student,organic search,business,mobile,11,4765.14,9.6,0,6.8,15600,card,0,1,olomouc
100023,2025-04-30,2026-04-18,27,ostrava,ostrava,young professional,email campaign,basic,mobile,7,624.88,10.2,1,6.1,37300,card,0,0,ostrava
100025,2022-10-04,2026-04-08,29,ostrava,ostrava,family,paid ads,basic,mobile,9,897.99,31.7,4,6.1,78800,card,0,0,ostrava
100027,2023-04-05,2026-04-06,18,brno,brno,retired,email campaign,business,tablet,11,2567.48,11.5,2,6.9,27900,card,0,0,brno
100028,not_available,2026-03-26,46,olomouc,olomouc,student,social media,basic,desktop,5,715.73,16.9,0,6.7,14100,paypal,0,0,olomouc
100030,2025-03-16,2026-04-24,23,other,other,family,social media,basic,tablet,2,105.81,12.7,3,5.0,69800,card,0,0,other
100031,2024-01-18,2026-04-28,34,other,other,young professional,email campaign,basic,desktop,8,728.97,34.6,0,6.0,36500,card,0,0,other
100032,2024-05-06,2026-04-26,55,brno,brno,student,direct,basic,desktop,7,432.58,16.3,1,6.2,24000,card,0,0,brno
100033,2023-04-20,2026-03-29,30,ostrava,ostrava,retired,email campaign,plus,mobile,4,690.22,7.9,2,8.5,41100,bank_transfer,0,0,ostrava
100034,2023-03-25,2026-04-19,18,prague,prague,student,paid ads,premium,desktop,9,3623.18,38.1,2,8.7,20800,card,0,0,prague
100035,2023-05-26,2026-04-03,26,prague,prague,student,social media,premium,mobile,9,1978.68,12.0,1,8.7,29900,bank_transfer,0,0,prague
100036,2023-12-01,2026-04-19,40,plzen,plzeň,small business,direct,plus,mobile,12,2375.2,12.8,1,9.8,44100,card,0,0,plzen
