customer_id,signup_date,last_active_date,age,region,city_raw,customer_segment,acquisition_channel,product_plan,device_type,monthly_sessions,avg_monthly_spend,discount_pct,support_tickets_90d,satisfaction_score,estimated_income_czk,payment_method,churned
100001,2025-01-31,2026-04-23,39.0,Prague,Praha,Family,Organic Search,Basic,desktop,9.0,633.59,13.9,3.0,7.8,99500.0,card,0
100002,2025-12-30,2026-04-27,53.0,Brno,Brno,Family,Email Campaign,Business,desktop,22.0,15337.56,4.2,2.0,5.9,68800.0,,0
100003,2024-05-10,2026-04-20,27.0,Olomouc,olomouc,Family,Organic Search,Premium,tablet,9.0,3772.14,19.9,2.0,4.7,62600.0,card,0
100004,2025-07-18,2026-04-05,28.0,Brno,Brno,Small Business,Email Campaign,Plus,mobile,15.0,3633.56,4.8,0.0,8.6,54200.0,paypal,0
100005,2025-03-22,2026-04-09,54.0,Ostrava,Ostrava,Family,Social Media,Business,mobile,13.0,4665.13,12.8,2.0,10.0,38800.0,card,0
100006,2024-12-31,2026-04-06,33.0,Other,Other,Student,Paid Ads,,desktop,6.0,271.75,27.7,2.0,4.3,11100.0,,0
100007,2024-11-10,2026-04-13,34.0,Prague,Praha,Retired,Referral,Plus,desktop,8.0,1473.4,16.9,1.0,7.1,23700.0,card,0
100008,2022-05-02,2025-03-01,42.0,Prague,Praha,Young Professional,Referral,Basic,mobile,4.0,491.44,4.7,4.0,5.7,62500.0,bank_transfer,1
100009,2025-11-13,2026-04-22,18.0,Ostrava,ostrava,Retired,Organic Search,Premium,desktop,10.0,3724.15,2.9,0.0,8.9,24600.0,card,0
100010,2025-05-23,2026-04-17,18.0,Olomouc,Olomouc,Young Professional,Organic Search,Basic,mobile,7.0,723.1,19.1,1.0,6.8,35400.0,,0
100011,not_available,2026-04-01,46.0,Brno,Brno,Small Business,Email Campaign,Business,mobile,31.0,10552.21,17.1,1.0,7.6,122400.0,card,0
100012,2024-12-16,2026-04-08,35.0,Prague,Praha,Family,Social Media,Plus,mobile,7.0,928.1,7.4,0.0,7.5,93700.0,bank_transfer,0
100013,2025-10-28,2026-04-12,36.0,Brno,Brno,Young Professional,Social Media,Business,desktop,11.0,7751.96,3.3,2.0,8.0,60200.0,card,0
100014,2025-01-28,2026-03-26,29.0,Plzen,Plzen,Retired,Paid Ads,Plus,mobile,5.0,1063.05,14.8,2.0,5.4,28000.0,card,0
100015,2024-05-21,2026-04-08,34.0,Liberec,Liberec,Family,Paid Ads,Plus,desktop,10.0,1220.55,18.0,3.0,7.5,44800.0,paypal,0
